t,gt_x,gt_y,gt_z,fused_x,fused_y,fused_z,err_3d,quality
7.8,-1.45186,-1.37553,13.9,-1.59494,-1.4422,13.9695,0.172479,1
7.85,-1.41703,-1.4114,13.925,-1.42986,-1.43865,13.9071,0.0350448,1
7.9,-1.3813,-1.44638,13.95,-1.39403,-1.47578,13.9899,0.0511536,1
7.95,-1.34471,-1.48045,13.975,-1.44374,-1.47586,14.1152,0.171706,1
8,-1.30729,-1.5136,14,-1.41062,-1.50937,14.0674,0.123449,1
8.05,-1.26904,-1.54581,14.025,-1.37348,-1.54527,14.0939,0.125127,1
8.1,-1.23,-1.57705,14.05,-1.33814,-1.5767,13.9833,0.127075,1
8.15,-1.1902,-1.6073,14.075,-1.30275,-1.60745,14.0065,0.131763,1
8.2,-1.14965,-1.63655,14.1,-1.26671,-1.63723,14.0229,0.140158,1
8.25,-1.10838,-1.66478,14.125,-1.23556,-1.65953,13.8296,0.321702,1
8.3,-1.06642,-1.69197,14.15,-1.19033,-1.69302,13.8254,0.347458,1
8.35,-1.02379,-1.7181,14.175,-1.15748,-1.71811,13.9695,0.245141,1
8.4,-0.980522,-1.74315,14.2,-1.11538,-1.747,14.0216,0.223682,1
8.45,-0.936641,-1.76712,14.225,-1.07754,-1.77277,14.1307,0.169635,1
8.5,-0.892175,-1.78998,14.25,-1.04372,-1.79546,14.2596,0.151952,1
8.55,-0.847151,-1.81172,14.275,-1.00391,-1.81865,14.2929,0.157931,1
8.6,-0.801598,-1.83233,14.3,-0.96039,-1.84346,14.3666,0.172542,1
8.65,-0.755544,-1.8518,14.325,-0.881517,-1.68109,14.4775,0.261267,1
8.7,-0.709018,-1.87011,14.35,-0.839148,-1.69305,14.6845,0.400214,1
8.75,-0.662049,-1.88724,14.375,-0.801085,-1.83757,14.5119,0.201338,1
8.8,-0.614666,-1.9032,14.4,-0.788044,-1.8424,14.4735,0.197877,1
8.85,-0.566899,-1.91797,14.425,-0.844379,-1.79987,14.529,0.318981,1
8.9,-0.518777,-1.93155,14.45,-0.78313,-1.81664,14.5608,0.308794,1
8.95,-0.470331,-1.94391,14.475,-0.508216,-1.95994,14.6416,0.171652,1
9,-0.421592,-1.95506,14.5,-0.456559,-1.97423,14.4966,0.0400252,1
9.05,-0.372588,-1.96499,14.525,-0.256876,-1.81607,14.605,0.204843,1
9.1,-0.323352,-1.97369,14.55,-0.190705,-1.81974,14.7751,0.303248,1
9.15,-0.273914,-1.98115,14.575,-0.185836,-2.04179,14.5998,0.109773,1
9.2,-0.224305,-1.98738,14.6,-0.120969,-2.05495,14.5324,0.14078,1
9.25,-0.174556,-1.99237,14.625,-0.15608,-1.90914,14.6678,0.0954114,1
9.3,-0.124697,-1.99611,14.65,-0.101472,-1.91024,14.5616,0.125397,1
9.35,-0.0747605,-1.9986,14.675,-0.116905,-1.8495,14.5715,0.186308,1
9.4,-0.0247773,-1.99985,14.7,-0.0659662,-1.84521,14.6878,0.160492,1
9.45,0.0252214,-1.99984,14.725,-0.0201454,-1.79026,14.6808,0.218943,1
9.5,0.0752043,-1.99859,14.75,0.0700432,-1.77419,14.7396,0.224695,1
9.55,0.12514,-1.99608,14.775,0.0823041,-1.92135,14.7265,0.0988536,1
9.6,0.174998,-1.99233,14.8,0.17212,-1.91421,14.7136,0.116486,1
9.65,0.224746,-1.98733,14.825,0.272708,-1.92838,14.8125,0.0770202,1
9.7,0.274354,-1.98109,14.85,0.279997,-1.92836,14.7257,0.135115,1
9.75,0.323791,-1.97362,14.875,0.332635,-1.92136,14.747,0.138578,1
9.8,0.373025,-1.96491,14.9,0.385167,-1.91297,14.7161,0.191473,1
9.85,0.422026,-1.95497,14.925,0.357868,-1.96555,15.0134,0.10973,1
9.9,0.470763,-1.94381,14.95,0.410733,-1.95749,14.9944,0.0758918,1
9.95,0.519206,-1.93143,14.975,0.580655,-1.90205,14.9239,0.0851473,1
10,0.567324,-1.91785,15,0.634609,-1.88974,14.9191,0.108908,1
10.05,0.615088,-1.90307,15.025,0.726442,-1.95181,15.0847,0.135435,1
10.1,0.662468,-1.8871,15.05,0.781817,-1.94124,15.0927,0.137821,1
10.15,0.709433,-1.86995,15.075,0.67069,-1.94382,15.0073,0.107416,1
10.2,0.755955,-1.85163,15.1,0.762721,-1.87369,15.0029,0.0997813,1
10.25,0.802005,-1.83215,15.125,0.810561,-1.85746,15.0253,0.103175,1
10.3,0.847554,-1.81153,15.15,0.857819,-1.84058,15.1914,0.0516293,1
10.35,0.892572,-1.78978,15.175,0.837639,-1.90015,15.0605,0.168274,1
10.4,0.937033,-1.76691,15.2,0.876097,-1.88665,15.1224,0.155147,1
10.45,0.980909,-1.74293,15.225,0.956418,-1.83325,15.2545,0.0981174,1
10.5,1.02417,-1.71787,15.25,0.999712,-1.81385,15.081,0.195867,1
10.55,1.06679,-1.69173,15.275,1.10568,-1.69856,15.1224,0.157654,1
10.6,1.10875,-1.66453,15.3,1.06476,-1.7648,15.3231,0.111907,1
10.65,1.15001,-1.6363,15.325,1.10077,-1.74519,15.3472,0.121549,1
10.7,1.19056,-1.60704,15.35,1.14392,-1.72,15.3141,0.127364,1
10.75,1.23035,-1.57678,15.375,1.15884,-1.51744,15.3661,0.0933467,1
10.8,1.26939,-1.54553,15.4,1.19528,-1.48348,15.4733,0.121327,1
10.85,1.30762,-1.51331,15.425,1.37339,-1.52449,15.4224,0.0667657,1
10.9,1.34504,-1.48015,15.45,1.41564,-1.49216,15.3906,0.0930227,1
10.95,1.38162,-1.44607,15.475,1.44878,-1.64098,15.4577,0.206881,1
11,1.41734,-1.41108,15.5,1.48924,-1.61676,15.508,0.218027,1
11.05,1.45217,-1.37521,15.525,1.37441,-1.46788,15.3686,0.197703,1
11.1,1.48609,-1.33848,15.55,1.40842,-1.43249,15.5205,0.125479,1
11.15,1.51909,-1.30091,15.575,1.59713,-1.3348,15.4179,0.178679,1
11.2,1.55113,-1.26253,15.6,1.6507,-1.28153,15.4766,0.159685,1
11.25,1.58221,-1.22336,15.625,1.49106,-1.29552,15.5976,0.119438,1
11.3,1.61229,-1.18343,15.65,1.62843,-1.32683,15.6761,0.146643,1
11.35,1.64137,-1.14276,15.675,1.65955,-1.29294,15.7029,0.153836,1
11.4,1.66943,-1.10137,15.7,1.68952,-1.25824,15.6662,0.161722,1
11.45,1.69644,-1.0593,15.725,1.81385,-1.17918,15.6576,0.180849,1
11.5,1.72238,-1.01656,15.75,1.85409,-1.13269,15.6155,0.221163,1
11.55,1.74726,-0.973185,15.775,1.77305,-1.0283,15.6757,0.116474,1
11.6,1.77104,-0.929204,15.8,1.79655,-0.989316,15.7866,0.0666545,1
11.65,1.79371,-0.884643,15.825,1.88832,-0.967288,15.8969,0.144742,1
11.7,1.81527,-0.839528,15.85,1.91525,-0.924053,15.8661,0.131911,1
11.75,1.83569,-0.793889,15.875,1.87121,-0.855597,15.9019,0.076123,1
11.8,1.85496,-0.747753,15.9,1.89226,-0.810066,15.9032,0.0726975,1
11.85,1.87307,-0.701151,15.925,1.886,-0.732986,15.9091,0.037842,1
11.9,1.89001,-0.65411,15.95,1.89143,-0.718668,15.9629,0.065851,1
11.95,1.90577,-0.60666,15.975,1.84705,-0.63326,16.0517,0.100202,1
12,1.92034,-0.558831,16,1.85931,-0.579034,16.0789,0.101759,1
